SMILES,Activity
O=[N+]([O-])c1ccc(Cl)cc1,1
C=Cc1ccccc1,0
C1N2CN3CN1CN(C2)C3,0
Cl[Si](Cl)(Cl)Cl,0
O=S(=O)(O)O,1
CCCCCC(CO)CCC,0
Cl[La](Cl)Cl,1
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,1
C=C(C)C(=O)OC1CCCCC1,0
Nc1ccc(Nc2ccccc2)cc1,0
C1CCC(NC2CCCCC2)CC1,0
Cl[Cd]Cl,0
O=S(O)O,0
O=[N+]([O-])O,0
O=P(O)(O)F,0
NC(=Nc1ccccc1)Nc1ccccc1,1
OCCN(CCO)CCO,1
CC(=O)OCC(COC(C)=O)OC(C)=O,0
c1ccc2sc(SN3CCOCC3)nc2c1,0
CCCCN(CCCC)CCCC,0
CCCCCCCCCCCC(=O)OC(C)C,0
O=S(O)(O)=S,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1
CCCCC(CC)CO,0
CN(CCO)CCO,0
O=C1CCCCCN1,1
CCCCC(CC)COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CC)CCCC,0
CC(C)=CCCC(C)CCO,1
CC(C)=CCCC(C)=CCO,1
Nc1ccc(N)cc1,0
C=CC(=O)OCC(C)C,0
ClCC1CO1,0
C=C(C)C(=O)OCC1CO1,1
CC(=O)O,1
CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,1
C=C[Si](OCCOC)(OCCOC)OCCOC,0
ClCCCl,0
CCCN,1
C=CC#N,1
NCCN,0
C=CCO,1
C#CCO,0
OCCO,1
COC=O,0
CC(O)CC(C)(C)O,0
CC(C)=CC=O,0
CC(O)CCO,0
N#CCC[Si](Cl)(Cl)Cl,0
C=COC(C)=O,0
CC(=O)OC(C)C,0
O=C1C=CC(=O)O1,0
Cc1cccc(O)c1,0
Oc1cccc(O)c1,0
Nc1nc(N)nc(N)n1,0
O=c1[nH]c(=O)[nH]c(=O)[nH]1,0
NC1CCCCC1,1
O=C1CCCCC1,0
Oc1ccccc1,1
CC(C)OCCO,0
CCCCC,0
CCCCCl,1
CCCCN,1
COCCO,1
CCNCC,0
CCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCCCCCCC(=O)OC,0
CCCCCC,1
NCCCCN,1
OCCCCO,0
C1CNCCN1,0
c1ccncc1,1
C1OCOCO1,1
CC(O)CNCC(C)O,0
CC12CCCC=C1C(=O)OC2=O,0
CCCCCCCC(=O)OC,0
CCCCCCC(=O)O,0
OCCCCCO,0
O=CCCCC=O,0
NCCNCCN,1
NCCNCCO,0
OCCNCCO,0
OCCOCCO,0
OCCSCCO,1
